der_av_after_max_max,max_der_before_max_median,beats_count,max_der_before_max_max,stopFrame,logattacktime_min,temporal_centroid_median,max_der_before_max_mean,effective_duration_mean,effective_duration_median,max_to_total,spectral_skewness_var,startFrame,max_der_before_max_min,scvalleys_mean_5,barkbands_spread_max,scvalleys_var_0,beats_loudness_dmean2,temporal_decrease_median,der_av_after_max_mean,beats_loudness_min,temporal_skewness_max,beats_loudness_mean,logattacktime_median,average_loudness,duration,gfcc_var_0,temporal_spread_mean,effective_duration_max,spectral_rms_median,temporal_decrease_mean,logattacktime_max,logattacktime_mean,beats_loudness_var,effective_duration_min,temporal_centroid_min,temporal_spread_min,spectral_spread_min,spectral_spread_mean,beats_loudness_median,beats_loudness_dmean,beats_loudness_dvar2,spectral_strongpeak_mean,gfcc_max_1,tc_to_total,temporal_spread_max,beats_loudness_dvar,der_av_after_max_median,mfcc_max_1,Class
1e-06,2e-06,0,1e-06,0.000294,1e-06,0,0.000629,0,2e-06,0,1e-06,0,1e-06,1e-06,1.2e-05,4e-06,1e-06,2e-06,2e-06,1e-06,0.000288,0.000607,1e-06,1e-06,0,0,3.9e-05,0,3e-06,1e-06,1e-06,3e-06,7.6e-05,3e-06,0,0,0,7e-06,0,0,2e-06,1e-06,2e-06,2e-06,0,0,2e-06,7e-05,3
0,9e-06,0,0.002738,0.000254,0,0,0.000456,0,1e-06,0,0,0,0,0,1.6e-05,3e-06,0,9e-06,0,0,0.000252,0.000498,0,0,0,0,7.8e-05,0,1e-06,0,0,1e-06,5.3e-05,3e-06,0,0,0,2e-06,0,0,0,0,0,0,0,0,0,4.9e-05,3
0,7.5e-05,0,0,0.000194,0,0,0.000438,0,1e-06,0,0,0,2e-06,0,4e-05,1.3e-05,0,8.1e-05,1e-06,1e-06,0.000192,0.000501,0,2e-06,0,0,0.000208,0,1e-06,0,1e-06,4e-06,4.3e-05,9e-06,0,0,0,3e-06,0,0,0,0,1e-06,0,0,0,0,4e-05,3
2e-06,8e-06,0,1.4e-05,0.001716,1e-06,0,0.001515,0,2e-06,0,0,0,1e-06,0,2.3e-05,3e-06,0,8e-06,2e-06,2e-06,0.00161,0.001506,0,1e-06,0,0,0.000223,0,3e-06,1e-06,2e-06,1e-06,0.00075,5e-06,0,0,0,6e-06,0,0,0,0,3e-06,0,0,0,3e-06,0.000658,3
0,7e-06,0,0.001105,0.000448,0,0,0.000506,0,0,0,0,0,0,0,6e-06,1e-06,0,7e-06,0,0,0.000439,0.000545,0,0,0,0,3e-05,0,0,0,0,0,5.1e-05,2e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6e-05,3
0.000237,2e-06,2.9e-05,0.52295,0.002029,0.000107,2.3e-05,0.000451,2.6e-05,0.000371,2.1e-05,4.5e-05,7e-06,0.000105,4.6e-05,0.00059,0.00049,4.5e-05,2e-06,0.000248,0.000225,0.002055,0.000512,6.7e-05,0.000112,2.6e-05,2.5e-05,0.000992,4e-06,0.000474,0.000105,0.000243,0.000294,0.000517,0.000225,2.9e-05,4e-06,2.1e-05,0.00087,8e-06,1e-06,0.000102,6.4e-05,0.000324,9.2e-05,3.7e-05,1e-06,0.000266,0.000481,19
1.2e-05,8e-06,1e-06,0.008145,6.2e-05,8e-06,0,4.1e-05,0,4.1e-05,0,1e-06,0,6e-06,2e-06,5e-05,5.4e-05,1e-06,8e-06,2.3e-05,1.2e-05,6.5e-05,4.6e-05,2e-06,7e-06,0,0,8.3e-05,0,4.9e-05,8e-06,1.3e-05,3.5e-05,4.1e-05,2.7e-05,1e-06,0,0,0.000108,0,0,4e-06,2e-06,2.8e-05,3e-06,0,0,1.2e-05,3.8e-05,3
3.7e-05,0,2e-06,0.053441,0.00017,8.7e-05,0,4.8e-05,0,4.7e-05,0,1e-06,0,2.4e-05,3e-06,7.5e-05,0.000626,1e-06,0,0.001127,0.00017,0.000178,5.3e-05,0,2e-05,0,0,0.001067,0,5.8e-05,8e-05,0.000197,0.000643,4.7e-05,3.3e-05,0,0,0,0.001449,0,0,1e-06,0,0.001348,1e-06,0,0,3.7e-05,4.4e-05,3
0.000695,0,2.8e-05,5e-05,3e-05,0.000768,5e-06,2.6e-05,1e-05,0.002456,6e-06,0.000283,2e-06,0.001174,4e-05,8e-06,0.00016,0.000402,0,0.000394,0.000115,3.1e-05,2.8e-05,0.000144,0.001151,1.4e-05,7e-06,4.4e-05,0,0.001979,0.000607,0.000142,9.6e-05,1.8e-05,3.6e-05,1.3e-05,0,5e-06,0.000112,1e-06,0,0.000355,9.5e-05,0.000541,0.000152,1.4e-05,0,0.000476,1.7e-05,3
1.8e-05,0,3e-06,3e-06,0.003417,9e-06,1e-06,0.000164,1e-06,3.7e-05,1e-06,3e-06,0,1e-05,4e-06,0.000209,3.7e-05,3e-06,0,2e-05,1.7e-05,0.003278,0.000183,4e-06,1e-05,2e-06,1e-06,0.000309,1e-06,4.7e-05,9e-06,1.8e-05,3.2e-05,0.002813,2.8e-05,2e-06,1e-06,1e-06,8.3e-05,1e-06,0,6e-06,4e-06,2.5e-05,6e-06,2e-06,0,2e-05,0.002173,3
2.9e-05,1e-06,6e-06,5.7e-05,0.001177,1.4e-05,6e-06,0.000901,7e-06,5.2e-05,6e-06,8e-06,3e-06,1.9e-05,9e-06,9.9e-05,5.7e-05,8e-06,1e-06,3.6e-05,2.8e-05,0.001165,0.000905,2e-05,2e-05,9e-06,6e-06,0.000233,4e-06,6.7e-05,1.4e-05,3e-05,4.1e-05,0.000283,3.4e-05,1e-05,4e-06,7e-06,0.000181,4e-06,2e-06,2.3e-05,2e-05,4.7e-05,2.1e-05,1e-05,2e-06,3.3e-05,0.000265,3
8.8e-05,3e-06,1.4e-05,2.4e-05,0.001981,4.5e-05,6e-06,0.001101,1.1e-05,0.000252,8e-06,1.4e-05,2e-06,5.3e-05,2e-05,0.000413,0.000253,1.4e-05,3e-06,0.000137,7.4e-05,0.002012,0.001174,1.9e-05,5.6e-05,1.1e-05,9e-06,0.001312,1e-06,0.000322,4.4e-05,8.5e-05,0.000181,0.001046,0.000129,1e-05,1e-06,5e-06,0.000608,2e-06,0,3.6e-05,1.5e-05,0.000175,3e-05,1.3e-05,0,9.5e-05,0.000966,3
0.000126,1e-06,6.3e-05,1.3e-05,0.003047,3.6e-05,1e-06,0.001147,4e-06,0.000275,1e-06,6e-05,0,0.000184,0.000101,0.000642,0.000188,5.9e-05,1e-06,0.000152,0.000241,0.003116,0.001257,2.2e-05,0.000201,7e-06,1e-06,0.001038,0,0.000349,3.5e-05,0.000258,0.000112,0.001093,0.000182,8e-06,0,1e-06,0.000594,0,0,8.7e-05,2.2e-05,0.000199,8e-05,6e-06,0,0.000141,0.000982,3
7.3e-05,2e-06,1.5e-05,0.09388,0.000378,2.9e-05,4e-06,0.000304,3e-06,0.000111,2e-06,1.4e-05,3e-06,0.000114,2.3e-05,0.000168,6.1e-05,1.5e-05,2e-06,0.00011,0.000108,0.000391,0.000336,7e-06,0.000115,4e-06,4e-06,0.000507,1e-06,0.000136,2.8e-05,0.000121,2.8e-05,0.000235,3.7e-05,4e-06,1e-06,2e-06,8.1e-05,3e-06,0,3.7e-05,6e-06,0.000137,3.3e-05,4e-06,0,7.8e-05,0.00022,3
7.9e-05,1.2e-05,1.3e-05,0.000296,0.000404,6.4e-05,9e-06,0.000725,1.2e-05,0.000176,8e-06,1.5e-05,5e-06,5.1e-05,2e-05,0.000262,0.000328,1.6e-05,1.2e-05,0.000126,9.7e-05,0.000419,0.000801,3.3e-05,5.2e-05,2e-05,9e-06,0.000631,2e-06,0.000219,6e-05,0.000109,0.000165,0.000103,7.3e-05,2.3e-05,2e-06,8e-06,0.000233,5e-06,1e-06,3.7e-05,3.1e-05,0.000154,3.2e-05,1.7e-05,1e-06,8.4e-05,9.6e-05,3
4.3e-05,2e-06,7e-06,0.49587,0.001838,3.3e-05,0,0.000503,1e-06,7.8e-05,0,5e-06,0,2.8e-05,1.1e-05,0.000702,0.000255,5e-06,2e-06,0.000106,6e-05,0.00182,0.000544,4e-06,3e-05,1e-06,1e-06,0.001626,0,9.9e-05,3.3e-05,6.5e-05,8.1e-05,0.001124,0.000196,1e-06,0,0,0.000228,0,0,1e-05,4e-06,0.000137,9e-06,1e-06,0,4.8e-05,0.00104,19
4e-06,0.000116,1e-06,0.002328,0.000699,2e-06,0,0.002659,0,8e-06,0,1e-06,0,2e-06,1e-06,3.4e-05,1.9e-05,1e-06,0.000122,5e-06,3e-06,0.00072,0.002821,1e-06,3e-06,1e-06,0,8.1e-05,0,1.1e-05,2e-06,4e-06,1.3e-05,0.000181,1.1e-05,1e-06,0,0,3.2e-05,0,0,1e-06,1e-06,6e-06,1e-06,0,0,4e-06,0.000167,3
4.1e-05,0.000239,5e-06,1.4e-05,0.000271,3.2e-05,2e-06,0.000352,4e-06,0.000109,3e-06,7e-06,2e-06,2.2e-05,7e-06,0.000226,0.000198,7e-06,0.000256,5.4e-05,4.7e-05,0.000283,0.000392,1.4e-05,2.1e-05,3e-06,3e-06,0.000231,2e-06,0.000132,3.3e-05,5.3e-05,9.1e-05,0.000393,0.000118,3e-06,2e-06,3e-06,0.000292,2e-06,1e-06,1.8e-05,1.3e-05,6.7e-05,1.3e-05,4e-06,2e-06,4.4e-05,0.000367,3
2.6e-05,0.000126,3e-06,0.000766,0.00028,1.5e-05,1e-06,0.000391,1e-06,6.9e-05,1e-06,2e-06,0,1e-05,5e-06,0.000173,0.000141,3e-06,0.000131,3.6e-05,2e-05,0.00029,0.000439,4e-06,1e-05,1e-06,1e-06,0.000231,0,8.3e-05,1.4e-05,2.3e-05,7.7e-05,0.00034,9e-05,1e-06,0,1e-06,0.000174,0,0,6e-06,4e-06,4.5e-05,5e-06,1e-06,0,2.7e-05,0.000319,3
0.000124,1e-06,3.4e-05,3e-06,0.000993,4.6e-05,1.8e-05,0.000823,1.8e-05,0.000121,1.3e-05,3.4e-05,6e-06,0.000106,5.1e-05,0.000113,0.0001,3.4e-05,1e-06,8.8e-05,0.000119,0.001021,0.000895,4.8e-05,0.000106,1.5e-05,2e-05,0.000273,3e-06,0.000156,4.6e-05,0.000137,6.6e-05,0.000302,4.3e-05,1.7e-05,3e-06,1.2e-05,0.000219,6e-06,1e-06,7.1e-05,4.7e-05,0.000105,6.2e-05,2.4e-05,1e-06,0.000134,0.000292,3
4e-06,2e-06,1e-06,0.000208,0.002152,3e-06,0,0.001493,0,3e-05,0,1e-06,0,2e-06,1e-06,0.000453,0.00016,1e-06,2e-06,1.3e-05,3e-06,0.002202,0.001636,1e-06,2e-06,0,0,0.001851,0,3.7e-05,3e-06,4e-06,7.7e-05,0.001516,0.000113,0,0,0,0.000108,0,0,2e-06,1e-06,1.7e-05,2e-06,1e-06,0,5e-06,0.00142,3
0.004284,3e-06,0.00011,0.090829,0.019897,0.000752,1.4e-05,0.003106,2e-05,0.001993,8e-06,0.000107,4e-06,0.000496,0.000172,0.007809,0.003482,0.000108,3e-06,0.00109,0.000999,0.020101,0.003404,8e-05,0.000514,2.5e-05,1.6e-05,0.012572,1e-06,0.00253,0.000743,0.001092,0.001253,0.029408,0.002914,2.6e-05,1e-06,8e-06,0.002841,4e-06,0,0.000284,7.7e-05,0.001403,0.00025,2.8e-05,0,0.004782,0.025742,2
2.8e-05,7.5e-05,4e-06,0.000554,0.003496,1.6e-05,1e-06,0.004403,1e-06,7.6e-05,2e-06,2e-06,0,9e-06,6e-06,0.000156,5.8e-05,2e-06,8e-05,3.9e-05,1.9e-05,0.003767,0.004981,3e-06,1e-05,1e-06,1e-06,0.000751,0,9.7e-05,1.6e-05,2.1e-05,3.7e-05,0.000934,3.5e-05,1e-06,0,2e-06,0.00016,0,0,4e-06,3e-06,5e-05,4e-06,1e-06,0,3.2e-05,0.000877,3
2e-06,1.3e-05,0,0.026466,0.000474,1e-06,0,0.000327,0,3e-06,1e-06,0,0,1e-06,0,1.5e-05,1.2e-05,0,1.3e-05,2e-06,2e-06,0.000485,0.000367,0,1e-06,0,0,8.6e-05,0,4e-06,1e-06,2e-06,6e-06,0.000104,4e-06,0,0,1e-06,1.5e-05,0,0,1e-06,0,2e-06,1e-06,0,0,3e-06,9.6e-05,3
0.001156,0,1.8e-05,0.51434,0.000519,0.000177,4e-06,9.1e-05,6e-06,0.000441,4e-06,2.2e-05,1e-06,7.3e-05,2.9e-05,0.000501,0.000391,2.2e-05,0,0.000202,0.000217,0.000506,0.000102,2.3e-05,7.7e-05,9e-06,4e-06,0.000746,0,0.000563,0.000176,0.000235,0.00023,0.00097,0.000221,9e-06,0,3e-06,0.000676,1e-06,0,3.4e-05,2.2e-05,0.000257,3.1e-05,8e-06,0,0.001314,0.000865,19
0.00018,0,1.8e-05,0.59164,0.000213,5.9e-05,2e-06,1.2e-05,3e-06,0.000317,1e-06,1.4e-05,1e-06,7.9e-05,2.8e-05,0.00063,0.000329,1.4e-05,0,0.000154,0.000158,0.000218,1.3e-05,1.8e-05,8.4e-05,4e-06,2e-06,0.001607,0,0.000405,5.8e-05,0.000171,0.000141,0.000695,0.000184,4e-06,0,2e-06,0.000441,1e-06,0,3.5e-05,1.8e-05,0.000201,3.1e-05,4e-06,0,0.0002,0.000661,19
0.006621,2.5e-05,0.000668,0.95734,0.094475,0.00239,0.000402,0.057793,0.000259,0.007201,0.000404,0.00053,0.000151,0.003201,0.001042,0.021582,0.010474,0.000527,2.7e-05,0.005238,0.004774,0.098731,0.070488,0.000572,0.00338,0.000437,0.000444,0.021279,0.000217,0.009153,0.002367,0.005219,0.008172,0.037651,0.004912,0.000486,0.000193,0.000415,0.012026,0.000172,0.000126,0.000776,0.000545,0.006794,0.000699,0.000366,0.00014,0.007399,0.034705,1
8.5e-05,0,1.5e-05,0.64547,0.000434,4.5e-05,2e-06,0.000161,2e-06,0.000219,2e-06,1.4e-05,1e-06,6.8e-05,2.4e-05,0.000446,0.00022,1.4e-05,0,7.4e-05,8.7e-05,0.00045,0.000145,1.1e-05,7.2e-05,3e-06,2e-06,0.000482,1e-06,0.000276,4.4e-05,9.5e-05,0.000136,0.00076,0.000195,3e-06,1e-06,2e-06,0.00038,1e-06,0,2.2e-05,1.1e-05,9.5e-05,1.9e-05,3e-06,0,9.8e-05,0.000773,19
5.7e-05,0,8e-06,0.29902,0.000506,5.9e-05,1e-06,9.5e-05,1e-06,5.6e-05,1e-06,9e-06,1e-06,3.2e-05,1.3e-05,0.000108,0.000148,9e-06,0,7.6e-05,3.6e-05,0.000523,0.000106,3e-06,3.4e-05,1e-06,1e-06,0.000468,0,7e-05,5.8e-05,3.9e-05,4.5e-05,0.000546,0.0001,1e-06,0,1e-06,8e-05,1e-06,1e-06,7e-06,3e-06,9.8e-05,7e-06,2e-06,1e-06,6.4e-05,0.000515,4
0.004782,2.5e-05,0.000146,0,4.2e-05,0.000911,0,9.1e-05,0,0.001036,0,6e-06,0,0.000196,0.000217,0.000818,0.000316,6e-06,2.5e-05,0.000652,0.000179,4.4e-05,0.000104,5e-06,0.000212,1e-06,0,4.3e-05,0,0.001235,0.000864,0.000201,0.000692,3.1e-05,0.000121,1e-06,0,0,0.002525,0,0,3.2e-05,5e-06,0.000792,2.8e-05,0,0,0.005043,2.9e-05,3
0,2.4e-05,0,0.18373,0.000307,0,1e-06,0.000416,1e-06,0,0,0,0,0,0,2e-06,0,0,2.5e-05,0,0,0.00032,0.000466,0,0,0,1e-06,1e-05,0,0,0,0,0,4.8e-05,0,0,0,0,1e-06,0,0,0,0,0,0,1e-06,0,0,4.4e-05,2
3e-06,0,1e-06,0.58917,7.2e-05,1e-06,1e-06,5.4e-05,1e-06,4e-06,0,1e-06,0,3e-06,1e-06,3e-06,3e-06,1e-06,0,3e-06,4e-06,7.5e-05,6.1e-05,2e-06,3e-06,1e-06,1e-06,6e-06,0,5e-06,1e-06,4e-06,3e-06,1.4e-05,1e-06,1e-06,0,0,1e-05,0,0,3e-06,2e-06,4e-06,2e-06,1e-06,0,3e-06,1.3e-05,19
8e-06,1e-06,1e-06,0.00831,0.00033,5e-06,0,0.000102,0,6e-06,0,1e-06,0,8e-06,1e-06,1.1e-05,2.3e-05,1e-06,1e-06,3e-06,1.2e-05,0.000321,0.000109,1e-06,9e-06,0,0,5.7e-05,3e-06,8e-06,5e-06,1.3e-05,7e-06,0.000115,4e-06,0,3e-06,0,1.5e-05,0,0,1e-06,1e-06,4e-06,1e-06,0,1e-06,9e-06,9.6e-05,3
1e-05,0,1e-06,1.4e-05,0.000765,7e-06,0,0.000113,0,2.8e-05,0,1e-06,0,5e-06,2e-06,4.6e-05,3.4e-05,1e-06,0,1.7e-05,7e-06,0.000707,0.000124,1e-06,5e-06,0,0,0.000245,0,3.6e-05,7e-06,8e-06,3.1e-05,0.000351,1.8e-05,0,0,0,7.6e-05,0,0,1e-06,1e-06,2.1e-05,1e-06,0,0,1.1e-05,0.000295,3
9e-06,0,0,0.29741,0.000391,5e-06,0,0.00011,0,1.8e-05,0,0,0,2e-06,0,1.4e-05,1.2e-05,0,0,1.1e-05,6e-06,0.000401,0.000121,0,2e-06,0,0,5.3e-05,0,2.3e-05,5e-06,6e-06,1.1e-05,7.5e-05,4e-06,0,0,0,4.2e-05,0,0,0,0,1.4e-05,0,0,0,1e-05,7e-05,4
5e-06,2.3e-05,1e-06,0.1764,0.00012,2e-06,0,0.000221,0,1.3e-05,0,1e-06,0,4e-06,1e-06,2e-05,8e-06,1e-06,2.3e-05,7e-06,5e-06,0.000122,0.00025,0,4e-06,0,0,3.7e-05,0,1.6e-05,2e-06,5e-06,5e-06,3.7e-05,5e-06,0,0,0,1.7e-05,0,0,1e-06,0,8e-06,0,0,0,6e-06,3.4e-05,2
7e-06,2e-06,1e-06,0.30696,0.004414,3e-06,0,0.009819,0,6e-06,0,0,0,4e-06,1e-06,3.6e-05,1.8e-05,0,2e-06,5e-06,7e-06,0.00394,0.011295,9e-06,4e-06,1e-06,0,0.000285,0,7e-06,2e-06,8e-06,6e-06,0.000367,7e-06,1e-06,0,0,2.8e-05,0,0,2e-06,7e-06,6e-06,1e-06,1e-06,0,8e-06,0.00033,4
8e-06,5.1e-05,1e-06,0.63724,0.003325,5e-06,0,0.004849,0,3.7e-05,0,1e-06,0,3e-06,1e-06,0.000168,0.000117,1e-06,5.5e-05,1.6e-05,6e-06,0.003404,0.005765,1e-06,3e-06,0,0,0.000669,0,4.8e-05,5e-06,7e-06,6.6e-05,0.001026,5.3e-05,0,0,0,0.000143,0,0,1e-06,1e-06,2.1e-05,1e-06,0,0,9e-06,0.000966,19
5.7e-05,4.9e-05,9e-06,0.000967,0.002361,2.2e-05,4e-06,0.00169,9e-06,6.1e-05,9e-06,8e-06,5e-06,2.7e-05,1.4e-05,7e-05,0.000145,8e-06,5.1e-05,6e-05,0.000107,0.002222,0.001769,1.1e-05,2.7e-05,5e-06,4e-06,0.000299,1.8e-05,7.8e-05,2.1e-05,0.000124,0.000137,0.000602,6.1e-05,5e-06,1.7e-05,9e-06,0.000107,5e-06,2e-06,1.9e-05,1e-05,7.6e-05,1.8e-05,1.3e-05,2e-06,6.1e-05,0.000573,3
0,1.9e-05,0,0.28834,4.3e-05,0,0,0.000177,0,1e-06,0,0,0,0,0,1e-06,1e-06,0,2e-05,0,0,4.4e-05,0.000197,0,0,0,0,5e-06,0,1e-06,0,0,1e-06,8e-06,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0,8e-06,4
